asset,target,phase,accuracy,f1_score
tesla,change_stockprice,phase1,0.5158730158730159,0.0
tesla,change_stockprice,phase2,0.5348837209302325,0.4444444444444444
tesla,change_stockprice,phase3,0.5876288659793815,0.5555555555555556
tesla,change_stockprice,phase4,0.5454545454545454,0.4
tesla,change_stockprice,full,0.5311720698254364,0.5129533678756477
tesla,change_volume,phase1,0.5634920634920635,0.6258503401360545
tesla,change_volume,phase2,0.5872093023255814,0.5590062111801242
tesla,change_volume,phase3,0.5670103092783505,0.4166666666666667
tesla,change_volume,phase4,0.5151515151515151,0.1111111111111111
tesla,change_volume,full,0.5561097256857855,0.42948717948717946
tesla,change_volatility,phase1,0.5555555555555556,0.582089552238806
tesla,change_volatility,phase2,0.5406976744186046,0.5093167701863354
tesla,change_volatility,phase3,0.5567010309278351,0.45569620253164556
tesla,change_volatility,phase4,0.5757575757575758,0.3
tesla,change_volatility,full,0.5062344139650873,0.49746192893401014
sp500,change_stockprice,phase1,0.48412698412698413,0.3925233644859813
sp500,change_stockprice,phase2,0.4941860465116279,0.48520710059171596
sp500,change_stockprice,phase3,0.4948453608247423,0.5950413223140496
sp500,change_stockprice,phase4,0.5454545454545454,0.5454545454545454
sp500,change_stockprice,full,0.48129675810473815,0.4497354497354497
sp500,change_volume,phase1,0.5873015873015873,0.5272727272727272
sp500,change_volume,phase2,0.5348837209302325,0.5698924731182796
sp500,change_volume,phase3,0.5257731958762887,0.08
sp500,change_volume,phase4,0.5454545454545454,0.5454545454545454
sp500,change_volume,full,0.5561097256857855,0.47337278106508873
sp500,change_volatility,phase1,0.5158730158730159,0.35789473684210527
sp500,change_volatility,phase2,0.5988372093023255,0.6057142857142858
sp500,change_volatility,phase3,0.5773195876288659,0.6495726495726496
sp500,change_volatility,phase4,0.5454545454545454,0.6666666666666666
sp500,change_volatility,full,0.486284289276808,0.44324324324324327
nasdaq,change_stockprice,phase1,0.5873015873015873,0.74
nasdaq,change_stockprice,phase2,0.4941860465116279,0.4727272727272727
nasdaq,change_stockprice,phase3,0.4948453608247423,0.6141732283464567
nasdaq,change_stockprice,phase4,0.3333333333333333,0.08333333333333333
nasdaq,change_stockprice,full,0.4713216957605985,0.38372093023255816
nasdaq,change_volume,phase1,0.6111111111111112,0.6423357664233577
nasdaq,change_volume,phase2,0.5290697674418605,0.46357615894039733
nasdaq,change_volume,phase3,0.5154639175257731,0.0784313725490196
nasdaq,change_volume,phase4,0.5757575757575758,0.36363636363636365
nasdaq,change_volume,full,0.5536159600997507,0.4624624624624625
nasdaq,change_volatility,phase1,0.4444444444444444,0.39655172413793105
nasdaq,change_volatility,phase2,0.5232558139534884,0.5684210526315789
nasdaq,change_volatility,phase3,0.5876288659793815,0.6153846153846154
nasdaq,change_volatility,phase4,0.5757575757575758,0.631578947368421
nasdaq,change_volatility,full,0.5610972568578554,0.5268817204301075
bitcoin,change_stockprice,phase1,0.48412698412698413,0.5578231292517006
bitcoin,change_stockprice,phase2,0.47093023255813954,0.5560975609756098
bitcoin,change_stockprice,phase3,0.5567010309278351,0.410958904109589
bitcoin,change_stockprice,phase4,0.5757575757575758,0.4166666666666667
bitcoin,change_stockprice,full,0.516209476309227,0.2971014492753623
bitcoin,change_volume,phase1,0.42857142857142855,0.0
bitcoin,change_volume,phase2,0.6511627906976745,0.6296296296296297
bitcoin,change_volume,phase3,0.7010309278350515,0.768
bitcoin,change_volume,phase4,0.7272727272727273,0.8085106382978723
bitcoin,change_volume,full,0.6708229426433915,0.717948717948718
bitcoin,change_volatility,phase1,0.5158730158730159,0.680628272251309
bitcoin,change_volatility,phase2,0.5116279069767442,0.4
bitcoin,change_volatility,phase3,0.6494845360824743,0.6851851851851852
bitcoin,change_volatility,phase4,0.5757575757575758,0.6818181818181818
bitcoin,change_volatility,full,0.5586034912718204,0.5541561712846348
