asset,target,phase,accuracy,f1_score
tesla,change_stockprice,phase1,0.6122448979591837,0.2962962962962963
tesla,change_stockprice,phase2,0.7368421052631579,0.7590361445783133
tesla,change_stockprice,phase3,0.6823529411764706,0.7096774193548387
tesla,change_stockprice,phase4,0.7333333333333333,0.75
tesla,change_stockprice,full,0.7580174927113703,0.7713498622589532
tesla,change_volume,phase1,0.48854961832061067,0.6378378378378379
tesla,change_volume,phase2,0.6571428571428571,0.6590909090909091
tesla,change_volume,phase3,0.6458333333333334,0.5641025641025641
tesla,change_volume,phase4,0.6,0.5625
tesla,change_volume,full,0.6666666666666666,0.639344262295082
tesla,change_volatility,phase1,0.5222222222222223,0.12244897959183673
tesla,change_volatility,phase2,0.5163934426229508,0.5755395683453237
tesla,change_volatility,phase3,0.5492957746478874,0.6
tesla,change_volatility,phase4,0.48,0.5517241379310345
tesla,change_volatility,full,0.6896551724137931,0.7054545454545454
sp500,change_stockprice,phase1,0.7441860465116279,0.8405797101449275
sp500,change_stockprice,phase2,0.8244274809160306,0.8
sp500,change_stockprice,phase3,0.639344262295082,0.7608695652173914
sp500,change_stockprice,phase4,0.6842105263157895,0.8
sp500,change_stockprice,full,0.8682926829268293,0.8820960698689956
sp500,change_volume,phase1,0.6198347107438017,0.684931506849315
sp500,change_volume,phase2,0.6130952380952381,0.5255474452554745
sp500,change_volume,phase3,0.5353535353535354,0.6461538461538462
sp500,change_volume,phase4,0.5555555555555556,0.6666666666666666
sp500,change_volume,full,0.6494845360824743,0.6091954022988506
sp500,change_volatility,phase1,0.6125,0.7559055118110236
sp500,change_volatility,phase2,0.5645161290322581,0.686046511627907
sp500,change_volatility,phase3,0.48333333333333334,0.5633802816901409
sp500,change_volatility,phase4,0.4,0.3333333333333333
sp500,change_volatility,full,0.6642066420664207,0.6566037735849056
nasdaq,change_stockprice,phase1,0.7142857142857143,0.813953488372093
nasdaq,change_stockprice,phase2,0.7841726618705036,0.7972972972972973
nasdaq,change_stockprice,phase3,0.7352941176470589,0.8043478260869565
nasdaq,change_stockprice,phase4,0.6086956521739131,0.7428571428571429
nasdaq,change_stockprice,full,0.8252032520325203,0.8552188552188552
nasdaq,change_volume,phase1,0.5317460317460317,0.6810810810810811
nasdaq,change_volume,phase2,0.6764705882352942,0.6961325966850829
nasdaq,change_volume,phase3,0.51,0.6573426573426573
nasdaq,change_volume,phase4,0.5142857142857142,0.45161290322580644
nasdaq,change_volume,full,0.6615776081424937,0.6274509803921569
nasdaq,change_volatility,phase1,0.6625,0.7938931297709924
nasdaq,change_volatility,phase2,0.528,0.6703910614525139
nasdaq,change_volatility,phase3,0.5522388059701493,0.4642857142857143
nasdaq,change_volatility,phase4,0.44,0.46153846153846156
nasdaq,change_volatility,full,0.6340579710144928,0.6710097719869706
bitcoin,change_stockprice,phase1,0.5352941176470588,0.46258503401360546
bitcoin,change_stockprice,phase2,0.631336405529954,0.6694214876033058
bitcoin,change_stockprice,phase3,0.7115384615384616,0.7115384615384616
bitcoin,change_stockprice,phase4,0.6666666666666666,0.625
bitcoin,change_stockprice,full,0.6572052401746725,0.5626740947075209
bitcoin,change_volume,phase1,0.5,0.6666666666666666
bitcoin,change_volume,phase2,0.6996047430830039,0.6346153846153846
bitcoin,change_volume,phase3,0.5850340136054422,0.6347305389221557
bitcoin,change_volume,phase4,0.5740740740740741,0.684931506849315
bitcoin,change_volume,full,0.6363636363636364,0.6466666666666666
bitcoin,change_volatility,phase1,0.5691056910569106,0.5619834710743802
bitcoin,change_volatility,phase2,0.6407185628742516,0.6052631578947368
bitcoin,change_volatility,phase3,0.57,0.49411764705882355
bitcoin,change_volatility,phase4,0.5277777777777778,0.10526315789473684
bitcoin,change_volatility,full,0.6213592233009708,0.5301204819277109
