asset,target,phase,accuracy,f1_score
tesla,change_stockprice,phase1,0.5158730158730159,0.2823529411764706
tesla,change_stockprice,phase2,0.45930232558139533,0.4294478527607362
tesla,change_stockprice,phase3,0.4639175257731959,0.48
tesla,change_stockprice,phase4,0.5151515151515151,0.0
tesla,change_stockprice,full,0.4837905236907731,0.5996131528046421
tesla,change_volume,phase1,0.5555555555555556,0.6266666666666667
tesla,change_volume,phase2,0.5465116279069767,0.5714285714285714
tesla,change_volume,phase3,0.5463917525773195,0.15384615384615385
tesla,change_volume,phase4,0.5757575757575758,0.4166666666666667
tesla,change_volume,full,0.5187032418952618,0.5281173594132029
tesla,change_volatility,phase1,0.5317460317460317,0.2716049382716049
tesla,change_volatility,phase2,0.4941860465116279,0.4
tesla,change_volatility,phase3,0.4948453608247423,0.6524822695035462
tesla,change_volatility,phase4,0.5151515151515151,0.0
tesla,change_volatility,full,0.5511221945137157,0.6456692913385826
sp500,change_stockprice,phase1,0.5793650793650794,0.6293706293706294
sp500,change_stockprice,phase2,0.47674418604651164,0.47674418604651164
sp500,change_stockprice,phase3,0.5051546391752577,0.5932203389830508
sp500,change_stockprice,phase4,0.36363636363636365,0.16
sp500,change_stockprice,full,0.5012468827930174,0.5983935742971888
sp500,change_volume,phase1,0.5873015873015873,0.5737704918032787
sp500,change_volume,phase2,0.5581395348837209,0.5777777777777777
sp500,change_volume,phase3,0.5876288659793815,0.5652173913043478
sp500,change_volume,phase4,0.48484848484848486,0.0
sp500,change_volume,full,0.5660847880299252,0.6150442477876106
sp500,change_volatility,phase1,0.49206349206349204,0.4666666666666667
sp500,change_volatility,phase2,0.5697674418604651,0.6407766990291263
sp500,change_volatility,phase3,0.6288659793814433,0.6538461538461539
sp500,change_volatility,phase4,0.5454545454545454,0.6666666666666666
sp500,change_volatility,full,0.57356608478803,0.657314629258517
nasdaq,change_stockprice,phase1,0.5714285714285714,0.6666666666666666
nasdaq,change_stockprice,phase2,0.47674418604651164,0.5263157894736842
nasdaq,change_stockprice,phase3,0.5051546391752577,0.5789473684210527
nasdaq,change_stockprice,phase4,0.3333333333333333,0.08333333333333333
nasdaq,change_stockprice,full,0.5461346633416458,0.675
nasdaq,change_volume,phase1,0.626984126984127,0.6356589147286822
nasdaq,change_volume,phase2,0.5697674418604651,0.6105263157894737
nasdaq,change_volume,phase3,0.5567010309278351,0.5656565656565656
nasdaq,change_volume,phase4,0.5151515151515151,0.0
nasdaq,change_volume,full,0.5112219451371571,0.5983606557377049
nasdaq,change_volatility,phase1,0.5158730158730159,0.46956521739130436
nasdaq,change_volatility,phase2,0.5174418604651163,0.5743589743589743
nasdaq,change_volatility,phase3,0.4948453608247423,0.5663716814159292
nasdaq,change_volatility,phase4,0.45454545454545453,0.5263157894736842
nasdaq,change_volatility,full,0.5187032418952618,0.6295585412667947
bitcoin,change_stockprice,phase1,0.5158730158730159,0.6629834254143646
bitcoin,change_stockprice,phase2,0.42441860465116277,0.44692737430167595
bitcoin,change_stockprice,phase3,0.4639175257731959,0.07142857142857142
bitcoin,change_stockprice,phase4,0.48484848484848486,0.6530612244897959
bitcoin,change_stockprice,full,0.5187032418952618,0.5867237687366167
bitcoin,change_volume,phase1,0.42063492063492064,0.02666666666666667
bitcoin,change_volume,phase2,0.6337209302325582,0.6735751295336787
bitcoin,change_volume,phase3,0.6804123711340206,0.6436781609195402
bitcoin,change_volume,phase4,0.6363636363636364,0.6842105263157895
bitcoin,change_volume,full,0.6483790523690773,0.6967741935483871
bitcoin,change_volatility,phase1,0.5396825396825397,0.6777777777777778
bitcoin,change_volatility,phase2,0.4941860465116279,0.43137254901960786
bitcoin,change_volatility,phase3,0.4639175257731959,0.1875
bitcoin,change_volatility,phase4,0.45454545454545453,0.0
bitcoin,change_volatility,full,0.5187032418952618,0.6132264529058116
