asset,target,phase,accuracy,f1_score
tesla,change_stockprice,phase1,0.5317460317460317,0.593103448275862
tesla,change_stockprice,phase2,0.4941860465116279,0.12121212121212122
tesla,change_stockprice,phase3,0.5773195876288659,0.5060240963855421
tesla,change_stockprice,phase4,0.5757575757575758,0.5
tesla,change_stockprice,full,0.5336658354114713,0.5241730279898219
tesla,change_volume,phase1,0.6190476190476191,0.6883116883116883
tesla,change_volume,phase2,0.5872093023255814,0.6162162162162163
tesla,change_volume,phase3,0.5360824742268041,0.1509433962264151
tesla,change_volume,phase4,0.6060606060606061,0.3157894736842105
tesla,change_volume,full,0.6084788029925187,0.6252983293556086
tesla,change_volatility,phase1,0.46825396825396826,0.0
tesla,change_volatility,phase2,0.5523255813953488,0.45390070921985815
tesla,change_volatility,phase3,0.5051546391752577,0.35135135135135137
tesla,change_volatility,phase4,0.6060606060606061,0.7111111111111111
tesla,change_volatility,full,0.5062344139650873,0.0
sp500,change_stockprice,phase1,0.6111111111111112,0.7586206896551724
sp500,change_stockprice,phase2,0.5058139534883721,0.5303867403314917
sp500,change_stockprice,phase3,0.5360824742268041,0.6896551724137931
sp500,change_stockprice,phase4,0.45454545454545453,0.5263157894736842
sp500,change_stockprice,full,0.46633416458852867,0.41208791208791207
sp500,change_volume,phase1,0.5476190476190477,0.5365853658536586
sp500,change_volume,phase2,0.5523255813953488,0.5217391304347826
sp500,change_volume,phase3,0.5257731958762887,0.0
sp500,change_volume,phase4,0.48484848484848486,0.41379310344827586
sp500,change_volume,full,0.5536159600997507,0.629399585921325
sp500,change_volatility,phase1,0.42063492063492064,0.0
sp500,change_volatility,phase2,0.5581395348837209,0.5632183908045977
sp500,change_volatility,phase3,0.6082474226804123,0.6481481481481481
sp500,change_volatility,phase4,0.5454545454545454,0.2857142857142857
sp500,change_volatility,full,0.4713216957605985,0.0
nasdaq,change_stockprice,phase1,0.5873015873015873,0.74
nasdaq,change_stockprice,phase2,0.48255813953488375,0.5136612021857924
nasdaq,change_stockprice,phase3,0.5773195876288659,0.7210884353741497
nasdaq,change_stockprice,phase4,0.5454545454545454,0.5945945945945946
nasdaq,change_stockprice,full,0.45885286783042395,0.3560830860534125
nasdaq,change_volume,phase1,0.5714285714285714,0.5645161290322581
nasdaq,change_volume,phase2,0.5523255813953488,0.5443786982248521
nasdaq,change_volume,phase3,0.5154639175257731,0.0
nasdaq,change_volume,phase4,0.6363636363636364,0.5384615384615384
nasdaq,change_volume,full,0.5635910224438903,0.5700245700245701
nasdaq,change_volatility,phase1,0.42063492063492064,0.0
nasdaq,change_volatility,phase2,0.5755813953488372,0.669683257918552
nasdaq,change_volatility,phase3,0.5979381443298969,0.5185185185185185
nasdaq,change_volatility,phase4,0.5454545454545454,0.2857142857142857
nasdaq,change_volatility,full,0.5062344139650873,0.0
bitcoin,change_stockprice,phase1,0.49206349206349204,0.5555555555555556
bitcoin,change_stockprice,phase2,0.46511627906976744,0.4523809523809524
bitcoin,change_stockprice,phase3,0.44329896907216493,0.25
bitcoin,change_stockprice,phase4,0.45454545454545453,0.25
bitcoin,change_stockprice,full,0.49625935162094764,0.2230769230769231
bitcoin,change_volume,phase1,0.5079365079365079,0.46551724137931033
bitcoin,change_volume,phase2,0.686046511627907,0.7522935779816514
bitcoin,change_volume,phase3,0.6494845360824743,0.7301587301587301
bitcoin,change_volume,phase4,0.6666666666666666,0.7659574468085106
bitcoin,change_volume,full,0.6683291770573566,0.7313131313131314
bitcoin,change_volatility,phase1,0.48412698412698413,0.0
bitcoin,change_volatility,phase2,0.4941860465116279,0.6533864541832669
bitcoin,change_volatility,phase3,0.5773195876288659,0.5858585858585859
bitcoin,change_volatility,phase4,0.45454545454545453,0.55
bitcoin,change_volatility,full,0.4463840399002494,0.0
