asset,target,phase,accuracy,f1_score
tesla,change_stockprice,phase1,0.5158730158730159,0.0
tesla,change_stockprice,phase2,0.48255813953488375,0.47337278106508873
tesla,change_stockprice,phase3,0.44329896907216493,0.1
tesla,change_stockprice,phase4,0.5151515151515151,0.0
tesla,change_stockprice,full,0.49625935162094764,0.5791666666666667
tesla,change_volume,phase1,0.6666666666666666,0.6911764705882353
tesla,change_volume,phase2,0.5872093023255814,0.6203208556149733
tesla,change_volume,phase3,0.5876288659793815,0.3939393939393939
tesla,change_volume,phase4,0.5757575757575758,0.3
tesla,change_volume,full,0.6134663341645885,0.6210268948655256
tesla,change_volatility,phase1,0.46825396825396826,0.0
tesla,change_volatility,phase2,0.5058139534883721,0.34108527131782945
tesla,change_volatility,phase3,0.5773195876288659,0.6495726495726496
tesla,change_volatility,phase4,0.6666666666666666,0.56
tesla,change_volatility,full,0.5062344139650873,0.0
sp500,change_stockprice,phase1,0.6190476190476191,0.7647058823529411
sp500,change_stockprice,phase2,0.4418604651162791,0.5428571428571428
sp500,change_stockprice,phase3,0.4845360824742268,0.5192307692307693
sp500,change_stockprice,phase4,0.42424242424242425,0.3870967741935484
sp500,change_stockprice,full,0.5411471321695761,0.5720930232558139
sp500,change_volume,phase1,0.5634920634920635,0.3956043956043956
sp500,change_volume,phase2,0.5872093023255814,0.6536585365853659
sp500,change_volume,phase3,0.5257731958762887,0.0
sp500,change_volume,phase4,0.6060606060606061,0.6976744186046512
sp500,change_volume,full,0.5511221945137157,0.6616541353383458
sp500,change_volatility,phase1,0.42063492063492064,0.0
sp500,change_volatility,phase2,0.5406976744186046,0.44755244755244755
sp500,change_volatility,phase3,0.5257731958762887,0.5964912280701754
sp500,change_volatility,phase4,0.5151515151515151,0.6521739130434783
sp500,change_volatility,full,0.4713216957605985,0.0
nasdaq,change_stockprice,phase1,0.5873015873015873,0.74
nasdaq,change_stockprice,phase2,0.5116279069767442,0.5757575757575758
nasdaq,change_stockprice,phase3,0.5257731958762887,0.640625
nasdaq,change_stockprice,phase4,0.5757575757575758,0.631578947368421
nasdaq,change_stockprice,full,0.4763092269326683,0.5661157024793388
nasdaq,change_volume,phase1,0.5317460317460317,0.21333333333333335
nasdaq,change_volume,phase2,0.5813953488372093,0.64
nasdaq,change_volume,phase3,0.5567010309278351,0.21818181818181817
nasdaq,change_volume,phase4,0.696969696969697,0.7368421052631579
nasdaq,change_volume,full,0.5561097256857855,0.6641509433962264
nasdaq,change_volatility,phase1,0.42063492063492064,0.0
nasdaq,change_volatility,phase2,0.563953488372093,0.5398773006134969
nasdaq,change_volatility,phase3,0.6082474226804123,0.525
nasdaq,change_volatility,phase4,0.6060606060606061,0.23529411764705882
nasdaq,change_volatility,full,0.5062344139650873,0.0
bitcoin,change_stockprice,phase1,0.42857142857142855,0.0
bitcoin,change_stockprice,phase2,0.5,0.5784313725490197
bitcoin,change_stockprice,phase3,0.4845360824742268,0.2647058823529412
bitcoin,change_stockprice,phase4,0.5151515151515151,0.0
bitcoin,change_stockprice,full,0.48129675810473815,0.584
bitcoin,change_volume,phase1,0.4523809523809524,0.14814814814814814
bitcoin,change_volume,phase2,0.6162790697674418,0.6796116504854369
bitcoin,change_volume,phase3,0.6597938144329897,0.611764705882353
bitcoin,change_volume,phase4,0.5757575757575758,0.7307692307692307
bitcoin,change_volume,full,0.6433915211970075,0.70020964360587
bitcoin,change_volatility,phase1,0.48412698412698413,0.0
bitcoin,change_volatility,phase2,0.47093023255813954,0.5185185185185185
bitcoin,change_volatility,phase3,0.5360824742268041,0.18181818181818182
bitcoin,change_volatility,phase4,0.45454545454545453,0.35714285714285715
bitcoin,change_volatility,full,0.4463840399002494,0.0
